qid,sentid,question,sentence text,label
457,19,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Pharmacokinetics and pharmacodynamics of mepolizumab, an anti-interleukin-5 monoclonal antibody.",0
457,20,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab is a fully humanized monoclonal antibody (IgG1/κ) targeting human interleukin-5 (IL-5), a key haematopoietin needed for eosinophil development and function.",0
457,21,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab blocks human IL-5 from binding to the α-chain of the IL-5 receptor complex on the eosinophil cell surface, thereby inhibiting IL-5 signalling.",0
457,22,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Recently, encouraging results of treatment with monoclonal antibody neutralizing IL-5, mepolizumab, have been published.",0
457,23,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"This manuscript reviews the available treatments for HES and the range of side-effects associated with long-term corticosteroid use, and then focuses on the anti-IL-5 monoclonal antibodies, mepolizumab and reslizumab.",0
457,24,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"The therapeutic progress is primarily due to an explosion of biological therapies, particularly four of them very useful for internists (in an off label use) : Interleukin 1 inhibitors (anakinra, Canakinumab) to treat some auto inflammatory diseases (cryopirin associated periodic syndromes and deficency of interleukin 1 receptor antagonist), monoclonal antibody against interleukin 5 (mepolizumab) to treat some hypereosinophilic syndromes and Churg and Strauss angiitis, interleukin 6 inhibitiors to treat multifocal Castleman's disease and adult Still disease, a monoclonal antibody against vascular endothelial growth factor (Bevacizumab) to treat hereditary hemorrhagic telangiectasia.",0
457,25,Which molecule is targeted by a monoclonal antibody Mepolizumab?," Besides steroid therapy, the anti-IL-5 monoclonal antibody mepolizumab is considered as a target therapy for L-HES.",0
457,26,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Mepolizumab is a humanized monoclonal antibody (mAb) with potent IL-5 neutralizing effects that represents a potential treatment for eosinophilic diseases.,1
457,27,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Anti-interleukin-5 antibody treatment (mepolizumab) in active eosinophilic oesophagitis: a randomised, placebo-controlled, double-blind trial.",0
457,28,Which molecule is targeted by a monoclonal antibody Mepolizumab?,The pharmacodynamic effect of mepolizumab (a humanised anti-interleukin-5 monoclonal antibody) in EoO was evaluated.,0
457,29,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"We studied the prednisone-sparing effect of mepolizumab, a monoclonal antibody against interleukin-5, in a rare subgroup of patients who have sputum eosinophilia and airway symptoms despite continued treatment with prednisone.",0
457,30,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Subjects received infusions of either mepolizumab, an anti-interleukin-5 monoclonal antibody (29 subjects), or placebo (32) at monthly intervals for 1 year.",0
457,31,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"A recent study showed that a monoclonal antibody to IL-5, mepolizumab, reduced glucocorticoid therapy in HES patients who did not possess the FIP1L1-PDGFRA mutation while controlling eosinophilia and preventing recurrence or progression of tissue damage.",0
457,32,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"METHODS: We conducted an international, randomized, double-blind, placebo-controlled trial evaluating the safety and efficacy of an anti-interleukin-5 monoclonal antibody, mepolizumab, in patients with the hypereosinophilic syndrome.",0
457,33,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab: 240563, anti-IL-5 monoclonal antibody - GlaxoSmithKline, anti-interleukin-5 monoclonal antibody - GlaxoSmithKline, SB 240563.",0
457,34,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab is an anti-interleukin-5 monoclonal antibody that is in clinical trials with GlaxoSmithKline (GSK) for the treatment of severe asthma, nasal polyposis and hypereosinophilic syndrome and eosinophilic oesophagitis (the latter two indications are classed as eosinophilia in the phase table).",0
457,35,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"A previous small dose-finding study found that mepolizumab, a humanized anti-interleukin-5 monoclonal antibody, had no effect on allergen challenge in humans.",0
457,36,Which molecule is targeted by a monoclonal antibody Mepolizumab?,No effect of anti-interleukin-5 therapy (mepolizumab) on the atopy patch test in atopic dermatitis patients.,0
457,37,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab is a monoclonal antibody to interleukin-5, which reduces peripheral blood eosinophils.",1
457,38,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Previously, we reported that mepolizumab treatment did not result in clinical improvement in AD.",0
457,39,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab, an anti-IL-5 monoclonal antibody, currently being evaluated, seems promising.",0
457,40,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"These include imatinib mesylate, a tyrosine kinase inhibitor, and more recently, mepolizumab, an anti-IL-5 monoclonal antibody.",0
457,41,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Anti-IL-5 recombinant humanized monoclonal antibody (mepolizumab) for the treatment of atopic dermatitis.,0
457,42,Which molecule is targeted by a monoclonal antibody Mepolizumab?,A monoclonal antibody to human interleukin-5 (mepolizumab) was developed for atopic diseases.,0
457,43,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Anti-IL-5 monoclonal antibody (mepolizumab) reduces baseline bronchial mucosal eosinophils and deposition of extracellular matrix proteins in the reticular basement membrane in mild asthma.,0
457,44,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Skin biopsies were performed in 24 atopic subjects at allergen- and diluent-injected sites before 6 and 48 h after, three infusions of a humanized, monoclonal antibody against IL-5 (mepolizumab) using a randomized double-blind, placebo-controlled design.",0
457,45,Which molecule is targeted by a monoclonal antibody Mepolizumab?,OBJECTIVE: We aimed to assess the safety and efficacy of a humanized blocking monoclonal antibody against IL-5 (mepolizumab) in patients with several forms of hyper-eosinophilic syndromes.,0
457,46,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Anti-interleukin-5 (mepolizumab) therapy for hypereosinophilic syndromes.,0
457,47,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Bronchial biopsies were obtained before and after three infusions of a humanized, anti-IL-5 monoclonal antibody (mepolizumab) in 24 atopic asthmatics in a randomized, double-blind, placebo-controlled study.",0
457,48,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"GlaxoSmithKline (formerly SmithKline Beecham) is developing mepolizumab (SB-240563), a monoclonal antibody directed against IL-5, as a potential treatment for asthma and atopic dermatitis.",0
457,49,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"METHODS: Blood, bone marrow, and airway mucosal biopsy specimens were examined before and after anti-IL-5 (mepolizumab) treatment of asthmatic individuals in a double-blind, placebo-controlled trial.",0
457,50,Which molecule is targeted by a monoclonal antibody Mepolizumab?,Anti-IL-5 (mepolizumab) therapy induces bone marrow eosinophil maturational arrest and decreases eosinophil progenitors in the bronchial mucosa of atopic asthmatics.,0
457,51,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"The role of eosinophils as effector cells in asthma pathogenesis has been questioned since an anti-interleukin (IL)-5 monoclonal antibody (mepolizumab), which depleted blood and sputum eosinophils, failed to inhibit allergen-induced bronchoconstriction and airway hyperresponsiveness.",0
457,52,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab (SB-240563), a humanized monoclonal antibody (mAb) specific for human IL-5, is currently in clinical trials for treatment of asthma.",0
457,53,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"CONCLUSION: These studies demonstrate that chronic antagonism of IL-5 by mepolizumab in monkeys is safe and has the potential, through long-term reductions in circulating and tissue-resident eosinophils, to be beneficial therapy for chronic inflammatory respiratory diseases.",0
457,54,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Preclinical efficacy and safety of mepolizumab (SB-240563), a humanized monoclonal antibody to IL-5, in cynomolgus monkeys.",0
457,55,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab is a fully humanized monoclonal antibody (IgG1/�) targeting human interleukin-5 (IL-5), a key haematopoietin needed for eosinophil development and function.",0
457,56,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"BACKGROUND: Mepolizumab, a monoclonal anti-IL-5 antibody, is an effective corticosteroid-sparing agent for patients with Fip1-like 1/platelet-derived growth factor receptor � fusion (F/P)-negative hypereosinophilic syndrome (HES).",0
457,57,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab is a fully humanized monoclonal antibody (IgG1/κ) targeting human interleukin-5 (IL-5), a key haematopoietin needed for eosinophil development and function",0
457,58,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Mepolizumab blocks human IL-5 from binding to the α-chain of the IL-5 receptor complex on the eosinophil cell surface, thereby inhibiting IL-5 signalling",0
457,59,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"Besides steroid therapy, the anti-IL-5 monoclonal antibody mepolizumab is considered as a target therapy for L-HES",0
457,60,Which molecule is targeted by a monoclonal antibody Mepolizumab?,"IL-5 antagonist therapies in current development include two monoclonal anti-IL-5 antibodies (mepolizumab, reslizumab), a monoclonal antibody directed at the IL-5 receptor (benralizumab), and anti-sense oligonucleotide therapy (TPI ASM8)",0
3891,0,What is a bacteriocin?,"One such strategy involves using narrow-spectrum protein antibiotics (so-called bacteriocins), which diverse bacteria use to compete against closely related species.",1
3891,1,What is a bacteriocin?,"Many enterococcal strains produce bacteriocins, which could be useful as natural food preservatives through inhibition of pathogenic and spoilage microorganisms.",1
3891,2,What is a bacteriocin?,"Bacteriocins, the ribosomally produced antimicrobial peptides of bacteria, represent an untapped source of promising antibiotic alternatives",1
3271,0,Salzburg EEG criteria are used to diagnose which disorder?,Reevaluation of the Critically Ill Patients With Nonconvulsive Status Epilepticus by Using Salzburg Consensus Criteria.,0
3271,1,Salzburg EEG criteria are used to diagnose which disorder?,OBJECTIVE: We aimed to assess the usefulness of the Salzburg Consensus Criteria (SCC) for determining the prognosis of critically ill patients with nonconvulsive status epilepticus (NCSE).,0
3271,2,Salzburg EEG criteria are used to diagnose which disorder?,CONCLUSION AND SIGNIFICANCE: Our findings suggest that SCC is highly compatible with clinical practice in the decision for treatment of patients with NCSE.,0
3271,3,Salzburg EEG criteria are used to diagnose which disorder?,Clinical presentations and the Salzburg EEG criteria for NCSE were used to identify patients with NCSE after CSE.,1
3271,4,Salzburg EEG criteria are used to diagnose which disorder?,EEGs recorded in the ICU were classified using the Salzburg criteria for NCSE.,0
3271,5,Salzburg EEG criteria are used to diagnose which disorder?,Diagnostic accuracy of the Salzburg EEG criteria for non-convulsive status epilepticus: a retrospective study.,0
3271,6,Salzburg EEG criteria are used to diagnose which disorder?,"BACKGROUND: Several EEG criteria have been proposed for diagnosis of non-convulsive status epilepticus (NCSE), but none have been clinically validated.",0
3271,7,Salzburg EEG criteria are used to diagnose which disorder?,"We aimed to assess the diagnostic accuracy of the EEG criteria proposed by a panel of experts at the fourth London-Innsbruck Colloquium on Status Epilepticus in Salzburg, 2013 (henceforth called the Salzburg criteria).",0
3271,8,Salzburg EEG criteria are used to diagnose which disorder?,"Two raters blinded to all other patient data retrospectively analysed the EEG recordings and, using the Salzburg criteria, categorised patients as in NCSE or not in NCSE.",0
3271,9,Salzburg EEG criteria are used to diagnose which disorder?,"INTERPRETATION: The Salzburg criteria for diagnosis of NCSE have high diagnostic accuracy and excellent inter-rater agreement, making them suitable for implementation in clinical practice.",0
3271,10,Salzburg EEG criteria are used to diagnose which disorder?,Salzburg Consensus Criteria for Non-Convulsive Status Epilepticus--approach to clinical application.,0
3271,11,Salzburg EEG criteria are used to diagnose which disorder?,BACKGROUND: Salzburg Consensus Criteria for diagnosis of Non-Convulsive Status Epilepticus (SCNC) were proposed at the 4th London-Innsbruck Colloquium on status epilepticus in Salzburg (2013).,0
3271,12,Salzburg EEG criteria are used to diagnose which disorder?,"The Salzburg Consensus Criteria for NCSE [1] have been modified according to the Standardized Terminology of the American Clinical Neurophysiology Society [2] and validated in three different cohorts, with a sensitivity of 97.2%, a specificity of 95.9%, and a diagnostic accuracy of 96.3% in patients with clinical signs of NCSE.",0
3271,13,Salzburg EEG criteria are used to diagnose which disorder?,"Two raters blinded to all other patient data retrospectively analysed the EEG recordings and, using the Salzburg criteria, categorised patients as in NCSE or not in NCSE.",0
3271,14,Salzburg EEG criteria are used to diagnose which disorder?,Nonconvulsive Status Epilepticus: Validating the Salzburg Criteria Against an Expert EEG Examiner.,1
3271,15,Salzburg EEG criteria are used to diagnose which disorder?,"INTERPRETATION

The Salzburg criteria for diagnosis of NCSE have high diagnostic accuracy and excellent inter-rater agreement, making them suitable for implementation in clinical practice.",0
3271,16,Salzburg EEG criteria are used to diagnose which disorder?,Clinical presentations and the Salzburg EEG criteria for NCSE were used to identify patients with NCSE after CSE.,1
3271,17,Salzburg EEG criteria are used to diagnose which disorder?,The difficulty of diagnosing NCSE in clinical practice; external validation of the Salzburg criteria.,0
3271,18,Salzburg EEG criteria are used to diagnose which disorder?,"To improve the diagnostic accuracy of electroencephalography (EEG) criteria for nonconvulsive status epilepticus (NCSE), external validation of the recently proposed Salzburg criteria is paramount.",1
3271,19,Salzburg EEG criteria are used to diagnose which disorder?,Clinical presentations and the Salzburg EEG criteria for NCSE were used to identify patients with NCSE after CSE.,1
3271,20,Salzburg EEG criteria are used to diagnose which disorder?,We divided the patients into those who were finally with diagnosed NCSE (NCSE-p) and those who were not (non-NCSE) according to the Salzburg Diagnostic EEG criteria.,0
3271,21,Salzburg EEG criteria are used to diagnose which disorder?,"We performed an external, retrospective, diagnostic accuracy study of the Salzburg criteria, using EEG recordings from patients with and without a clinical suspicion of having NCSE.",0
3271,22,Salzburg EEG criteria are used to diagnose which disorder?,BACKGROUND Salzburg Consensus Criteria for diagnosis of Non-Convulsive Status Epilepticus (SCNC) were proposed at the 4th London-Innsbruck Colloquium on status epilepticus in Salzburg (2013).,0
3271,23,Salzburg EEG criteria are used to diagnose which disorder?,"To improve the diagnostic accuracy of electroencephalography (EEG) criteria for nonconvulsive status epilepticus (NCSE), external validation of the recently proposed Salzburg criteria is paramount.",0
3271,24,Salzburg EEG criteria are used to diagnose which disorder?,"We performed an external, retrospective, diagnostic accuracy study of the Salzburg criteria, using EEG recordings from patients with and without a clinical suspicion of having NCSE.",0
3271,25,Salzburg EEG criteria are used to diagnose which disorder?,"INTERPRETATION: The Salzburg criteria for diagnosis of NCSE have high diagnostic accuracy and excellent inter-rater agreement, making them suitable for implementation in clinical practice.",0
3271,26,Salzburg EEG criteria are used to diagnose which disorder?,We divided the patients into those who were finally with diagnosed NCSE (NCSE-p) and those who were not (non-NCSE) according to the Salzburg Diagnostic EEG criteria.,0
3271,27,Salzburg EEG criteria are used to diagnose which disorder?,"Two raters blinded to all other patient data retrospectively analysed the EEG recordings and, using the Salzburg criteria, categorised patients as in NCSE or not in NCSE.",0
1188,0,Which protein is affected by dusp8 activation?,"Thus, rosiglitazone's neuroprotective effect after ischemia is mediated by blocking JNK phosphorylation induced by ischemia via DUSP8 upregulation.",0
1188,1,Which protein is affected by dusp8 activation?,Prevention of JNK phosphorylation as a mechanism for rosiglitazone in neuroprotection after transient cerebral ischemia: activation of dual specificity phosphatase.,1
1188,2,Which protein is affected by dusp8 activation?,These results suggest that JNK activation by H(2)O(2) plus PDTC resulted from the down-regulation of JNK phosphatases.,0
1188,3,Which protein is affected by dusp8 activation?,M3/6 is a dual-specificity phosphatase selective for JNK,1
1188,4,Which protein is affected by dusp8 activation?,Phosphorylation of the M3/6 dual-specificity phosphatase enhances the activation of JNK by arsenite.,1
1188,5,Which protein is affected by dusp8 activation?,Dual-specificity phosphatases (DUSPs) play a very important role in these events by modulating the extent of JNK phosphorylation and activation and thus regulating cellular responses to stress.,0
1188,6,Which protein is affected by dusp8 activation?,M3/6 (DUSP8) is one of the dual-specificity protein phosphatases with distinct specificity towards JNK,1
1188,7,Which protein is affected by dusp8 activation?,"Both anisomycin and arsenite activate the JNK pathway and, in addition, inactivate the M3/6 phosphatase.",0
1188,8,Which protein is affected by dusp8 activation?,"M3/6 (DUSP8) is a dual-specificity phosphatase implicated in the dephosphorylation and inactivation of JNK and, to a lesser extent, p38 MAPKs and is found in a complex with these kinases, along with other pathway components, held together by scaffold proteins.",1
1188,9,Which protein is affected by dusp8 activation?, We suggest that reduction of HSP70 by expanded polyglutamine is implicated in aggregation and inhibition of M3/6 and in activation of JNK and AP-1.,0
1817,0,Is SUMOylation a post-translational modification in eukaryotes?,"SUMOylation, the conjugation of target proteins with SUMO (small ubiquitin-related modifier), is a type of post-translational modification in eukaryotes and involves the sequential action of activation (E1), conjugation (E2) and ligation (E3) enzymes.",1
1817,1,Is SUMOylation a post-translational modification in eukaryotes?,Plants have evolved to cope with changing environmental conditions.,0
1817,2,Is SUMOylation a post-translational modification in eukaryotes?,One way plants achieve this is through post-translational modification of target proteins by ubiquitination and SUMOylation.,0
1817,3,Is SUMOylation a post-translational modification in eukaryotes?,"Sumoylation is a post-translational modification essential in most eukaryotes that regulates stability, localization, activity, or interaction of a multitude of proteins.",0
1817,4,Is SUMOylation a post-translational modification in eukaryotes?,"SUMOylation, the covalent attachment of a member of the small ubiquitin-like modifier (SUMO) family of proteins to lysines in target substrates, is an essential post-translational modification in eukaryotes.",0
1817,5,Is SUMOylation a post-translational modification in eukaryotes?,Post-translational modification by SUMO is a highly conserved pathway in eukaryotes that plays very important regulatory roles in many cellular processes.,0
1817,6,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation is an essential post-translational modification that regulates a variety of cellular processes including cell cycle progression.,0
1817,7,Is SUMOylation a post-translational modification in eukaryotes?,"Although the SUMOylation pathway has been identified and investigated in many eukaryotes, the mechanisms of SUMOylation in regulating the functions of various substrates are still poorly understood.",0
1817,8,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation is a relevant protein post-translational modification in eukaryotes.,1
1817,9,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation is a reversible post-translational modification essential for genome stability.,0
1817,10,Is SUMOylation a post-translational modification in eukaryotes?,"Many SUMOylated lysines have previously been reported to be ubiquitinated, acetylated or methylated, thus indicating cross-talk between SUMO and other post-translational modifications.",0
1817,11,Is SUMOylation a post-translational modification in eukaryotes?,Sumoylation is a post-translational modification shown to play a role in diverse biological processes.,0
1817,12,Is SUMOylation a post-translational modification in eukaryotes?,"Besides phosphorylation or ubiquitylation, for which many examples of modulation by pathogens exist, a post-translational modification called SUMOylation was recently shown to be targeted by pathogenic bacteria.",0
1817,13,Is SUMOylation a post-translational modification in eukaryotes?,"cruzi SUMOylated proteins are similarly modified, indicating conserved functions for protein SUMOylation in this early divergent eukaryote.",0
1817,14,Is SUMOylation a post-translational modification in eukaryotes?,"PML is a potent tumor suppressor and proapoptotic factor and is functionally regulated by post-translational modifications such as phosphorylation, sumoylation, and ubiquitination.",0
1817,15,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation is an essential post-translational modification that regulates a variety of cellular processes including cell cycle progression.,0
1817,16,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation in Giardia lamblia: A Conserved Post-Translational Modification in One of the Earliest Divergent Eukaryotes,0
1817,17,Is SUMOylation a post-translational modification in eukaryotes?,"SUMOylation, the covalent attachment of a member of the small ubiquitin-like modifier (SUMO) family of proteins to lysines in target substrates, is an essential post-translational modification in eukaryotes",0
1817,18,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation is a relevant protein post-translational modification in eukaryotes,1
1817,19,Is SUMOylation a post-translational modification in eukaryotes?,"Post-translational modifications (PTMs) are one facet of this proteasomal regulation, with over 400 known phosphorylation sites, over 500 ubiquitination sites and 83 internal lysine acetylation sites, as well as multiple sites for caspase cleavage, glycosylation (such as O-GlcNAc modification), methylation, nitrosylation, oxidation, and SUMOylation",0
1817,20,Is SUMOylation a post-translational modification in eukaryotes?,"SUMOylation is an important post-translational modification, and Akt SUMOylation was found to regulate cell proliferation, tumorigenesis and cell cycle, but the molecular mechanism of Akt SUMOylation is less well known",0
1817,21,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation is a form of post-translational modification where small ubiquitin-like modifiers (SUMO) are covalently attached to target proteins to regulate their properties,0
1817,22,Is SUMOylation a post-translational modification in eukaryotes?,"One distinctive feature in acute proteotoxic stresses, such as heat shock (HS), is rapid post-translational modification of proteins by SUMOs (small ubiquitin-like modifier proteins; SUMOylation)",0
1817,23,Is SUMOylation a post-translational modification in eukaryotes?,"Post-translational modification by the Small Ubiquitin-like Modifier (SUMO) proteins, a process termed SUMOylation, is involved in many fundamental cellular processes",0
1817,24,Is SUMOylation a post-translational modification in eukaryotes?,SUMOylation is an important post-translational modification that is involved in many key biological processes,0
